Peak_ID,Library\ID,FF10BB02R01,FF10BB02R02,FF10BB02R03,FF10BB02R04,FF10BB24R01,FF10BB24R02,FF10BB24R03,FF10BB24R04,FF10BB48R01,FF10BB48R02,FF10BB48R03,FF10BB48R04,PA10BB02R01,PA10BB02R02,PA10BB02R03,PA10BB02R04,PA10BB24R01,PA10BB24R02,PA10BB24R03,PA10BB24R04,PA10BB48R01,PA10BB48R02,PA10BB48R03,PA10BB48R04
Peak_030,"Butanoic acid, 2-methyl-, ethyl ester Results",689840,802768,764625,724779,564364,661951,610798,600980,467080,522465,549984,509934,739407,712732,767964,692315,600240,592833,647938,582532,473956,468690,534318,457711
Peak_031,"Butanoic acid, 3-methyl-, ethyl ester Results",546859,675004,567349,548340,143221,189238,160817,168427,62251,76669,78656,76954,460511,439022,490800,394647,142831,133369,157479,131309,67152,54438,72708,61483
Peak_032,"Disulfide, dimethyl Results",13173972,14113063,7614857,11134189,1716313,1727860,2446866,2670797,278088,513838,916736,357294,12864159,11021632,15116026,11826482,2499398,2272256,2830041,3133429,444010,348600,451541,672399
Peak_033,N-Hexanal Results,45970,54831,59083,54845,32381,38381,39521,35232,30092,26187,30293,33545,49498,46779,46540,48285,48949,44558,40400,39639,41320,35309,37893,36272
Peak_034,"Ethenamine, N-methylene- Results",531581,463129,517980,447466,320428,320713,332402,369449,303283,244545,302440,329986,440539,462884,553079,382986,247936,274518,352791,343257,219871,271216,335178,306220
Peak_035,1H-Pyrrole-2-carboxylic acid Results,130776,180153,148661,143335,22164,38345,36161,36182,12634,13906,16167,13417,114576,111577,125795,96626,17446,20815,25303,22390,9076,7703,11403,9386
Peak_036,"2-Butenal, 2-methyl- Results",265615,314758,311179,298471,227141,198089,250993,266554,195531,138497,248003,233001,238948,229545,283688,225070,197374,179075,229959,183168,174052,158362,202331,162943
Peak_037,"1-Propanol, 2-methyl- Results",1838822,2290908,2175566,2186096,2114042,2227695,2217688,2121419,1965053,2202125,2328916,2032317,2420770,2164443,2211736,2367615,2132108,2081978,2236700,2309426,1992906,2211068,2192856,2002308
Peak_038,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl- Results",2984474,3771262,3294186,3063260,548519,783451,657504,695963,227060,294592,315839,291221,2674344,2537190,2856939,2262814,168750,422418,609352,520356,198320,157611,264895,210229
Peak_039,"3-Butenoic acid, 3-methyl-, methyl ester Results",39495,48186,46262,41880,22501,29150,25944,25519,15378,15870,18938,19738,41308,38457,42040,37662,24100,24201,28101,23341,16264,15954,18298,14506
Peak_040,"1-Butanol, 3-methyl-, acetate Results",764283,808876,814943,797942,471499,547236,531256,537224,363342,415170,446504,419505,774129,725280,754014,730341,565455,572678,566660,599008,478239,500227,479291,484935
Peak_041,"Butanenitrile, 3-methyl- Results",695671,670508,689275,677909,452632,516379,502883,511719,358395,404830,438853,408381,713156,671082,682709,682394,524279,514637,533407,557850,429486,442715,447769,446139
Peak_042,"2-Pentene, 4,4-dimethyl-, (E)- Results",68286,81431,83956,73218,52427,69484,62535,62294,46144,56053,56952,56515,68504,68394,80341,70601,56781,57640,62251,53407,49527,45843,53482,47778
Peak_043,"1,3-dimethyl-Benzene Results",87743,116596,122427,111839,39570,77553,89233,65463,50413,35617,39294,47711,97619,78847,89043,92086,34903,42180,42189,56111,32526,45625,34753,32955
Peak_044,1-Butanol Results,517537,710744,577605,577349,812287,947490,703435,723665,1020935,1136083,996391,835275,884528,835367,716701,849664,1594673,1542712,1411168,1580736,1565884,1643781,1588333,1508926
Peak_045,"Cyclopentasiloxane, decamethyl- Results",387016,471765,456383,816994,572336,481076,668517,592256,486215,696504,674784,495060,707100,475385,383159,525935,488621,507305,329744,591274,518221,584379,493629,430397
Peak_046,"2-Butenoic acid, 3-methyl-, methyl ester Results",187961,246794,239837,228516,82356,116160,105573,102223,41675,52993,54568,53313,199284,199244,221133,179043,91559,89558,105513,84307,45046,42537,56568,44337
Peak_047,"7-Oxabicyclo[2.2.1]heptane, 1-methyl-4-(1-methylethyl)- Results",165411,205642,188893,183644,43991,60011,56011,58255,26461,32569,35617,32532,160802,163782,185204,152078,39748,43353,54484,46321,27533,25351,33342,26416
Peak_048,p-Xylene Results,87245,109712,110699,100461,28726,48096,47709,40946,32070,25195,27398,30918,83992,74987,79091,83259,29598,31159,29820,38878,22918,29127,24826,23961
Peak_049,D-Limonene Results,156423,230199,174187,174155,33922,38038,38421,43891,21509,22985,22170,19428,96565,92425,112097,77130,14966,27349,27605,28182,14607,14989,16981,15125
Peak_050,"1-Butanol, 3-methyl- Results",11481565,12988537,12464795,11999686,13386139,13858715,13523772,13116430,14175637,13889500,16294375,14002340,21965016,22434785,19272355,18968821,20709726,22840522,19305937,19637428,19679724,22966844,19298211,18324425
Peak_051,"(2R,5R)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran Results",999043,610671,591994,498829,114542,129414,114257,133441,56293,62148,66510,58339,455005,492293,586810,376901,77855,87775,116370,122837,50104,52740,67913,58839
Peak_052,"Bicyclo[3.1.0]hexan-2-ol, 2-methyl-5-(1-methylethyl)-, (1.alpha.,2.alpha.,5.alpha.)- Results",73609,143993,114580,117889,22781,30172,28322,30728,14461,19036,17381,18097,110642,91695,101365,97660,37637,28774,25864,26780,16316,16055,16265,15360
Peak_053,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran Results",2022985,2560731,2212502,2099222,345807,471135,408357,437728,149407,185726,204146,182276,1800703,1809255,2055760,1624140,320989,326695,412713,348962,138818,118346,182855,152319
Peak_054,Thiazole Results,171322,190805,209201,192814,178059,184726,177038,188139,176494,170314,198457,188085,224892,217903,203434,214211,201971,190910,194584,200013,185612,187664,191928,186474
Peak_055,1-PENTANOL Results,155426,158186,161366,152678,109937,124820,118641,115697,108327,111956,124363,111993,156930,135817,151976,151320,102530,110280,115409,107931,93982,99308,103256,92364
Peak_056,"Benzene, 1,2,4,5-tetramethyl- Results",3112722,4492523,3554085,3369110,275255,352939,332269,357166,66439,81762,84437,80799,2135396,2058893,2494589,1764111,168699,180175,244122,224833,44180,43768,56371,53202
Peak_057,Dimethyl sulfone Results,342205,382804,383943,355155,121572,161439,146343,152446,83175,101810,119308,103310,347013,339850,367809,329303,132113,141892,151348,131593,91254,89213,106216,90546
Peak_058,"Pyrazine, 2,6-dimethyl- Results",293730,363502,332933,364841,293923,319365,305622,347075,286185,294459,358039,314686,373134,387767,392828,374012,374685,378836,381117,351427,367338,342748,361419,362388
Peak_059,2-Chloro-4-(4-methoxyphenyl)-6-(4-nitrophenyl)pyrimidine Results,166794,217140,163177,374091,212863,155257,282348,218764,152459,262322,233348,145702,253939,164540,168785,210414,166682,179851,123592,214123,152254,200369,153873,136685
Peak_060,1-Hexanol Results,4783338,5869481,5657259,5183395,4401110,5320915,4687502,4851799,4126629,4631126,5142667,4474756,4833241,4748078,5354990,4653504,4085397,4132914,4630812,3761321,3576117,3367384,4063720,3335185
Peak_061,Dimethyl trisulfide Results,413397,513793,463359,432943,76018,92827,83110,91180,44367,51218,54777,53359,375072,391047,433756,349541,67976,68020,84085,69243,37720,35214,46711,40881
Peak_062,Dimethyl trisulfide(1) Results,464168,690717,142222,361490,37624,26972,82137,138698,6834,9358,45182,17244,142560,147962,240083,183294,54909,77830,51968,59543,10793,11306,11171,20377
Peak_063,"3-Hexen-1-ol, (E)- Results",267155,341006,321929,297127,373164,440607,342076,338254,492524,521432,499155,410194,258062,251213,289299,254016,222931,227547,255300,215785,206746,190294,231408,204617
Peak_064,"Pyrazine, 2-butyl-3,5-dimethyl- Results",102648,125693,118223,115823,98792,109064,108525,114038,98277,101841,116881,109209,115746,119220,122945,112441,108698,115431,110210,107488,110795,99781,105015,104618
