Peak_ID,Library\ID,FF10BB02B01,FF10BB02B02,FF10BB02B03,FF10BB02P01,FF10BB02P02,FF10BB02P03,FF10BB02R01,FF10BB02R02,FF10BB02R03,FF10BB02R04,FF10BB24B01,FF10BB24B02,FF10BB24B03,FF10BB24P01,FF10BB24P02,FF10BB24P03,FF10BB24R01,FF10BB24R02,FF10BB24R03,FF10BB24R04,FF10BB48B01,FF10BB48B02,FF10BB48B03,FF10BB48P01,FF10BB48P02,FF10BB48P03,FF10BB48R01,FF10BB48R02,FF10BB48R03,FF10BB48R04,PA10BB02B01,PA10BB02B02,PA10BB02B03,PA10BB02P01,PA10BB02P02,PA10BB02P03,PA10BB02R01,PA10BB02R02,PA10BB02R03,PA10BB02R04,PA10BB24B01,PA10BB24B02,PA10BB24B03,PA10BB24P01,PA10BB24P02,PA10BB24P03,PA10BB24R01,PA10BB24R02,PA10BB24R03,PA10BB24R04,PA10BB48B01,PA10BB48P01,PA10BB48P02,PA10BB48P03,PA10BB48R01,PA10BB48R02,PA10BB48R03,PA10BB48R04
peak_034,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran",258,302,525,1075541,0,1368654,1407237,1619083,1488385,1324457,209,478,94,251512,312984,288702,224687,290073,243596,271473,796,145,399,51773,116387,76247,88192,90212,114290,95421,157,989,633,969702,1293381,1410885,1113424,1259072,1457746,1056753,92,1121,901,172225,269126,193671,240724,216396,264140,202760,64,67615,79319,78419,70087,52286,99731,86530
peak_035,Thiazole,884,667,0,84415,0,108703,98058,115228,117867,116693,2303,1114,452,110446,113385,121240,103262,127136,115748,113508,693,1092,140,110008,111447,122033,105728,104751,129102,98816,295,279,429,100815,108746,107322,119583,113711,103467,124758,1301,555,1289,129701,119639,110818,145199,122602,119266,118403,990,100903,96399,104306,120240,101131,100253,112242
peak_036,1-Pentanol,446,482,84,36424,0,40665,36483,51152,53178,49283,0,787,1234,38525,36703,47832,45134,55828,51684,50518,247,628,121,38066,40169,41754,36918,53968,53472,48912,414,0,473,40561,47978,51916,52353,51116,51546,45887,567,558,0,44728,47251,42078,51375,48420,56844,47501,840,41115,40648,42849,43038,42158,50235,43485
peak_037,3-Aminopyridine,717,734,0,33740,0,52839,44015,54122,53160,53670,1789,139,775,53656,55562,63010,43159,52590,47555,49665,249,1090,344,47738,51043,57787,45698,48628,52200,52482,0,434,0,45282,55375,55526,56817,56087,54867,52776,268,325,482,56929,53429,48373,40750,52431,51014,47115,477,53577,45404,54218,52516,46945,51952,48253
peak_038,"Benzene, 1-ethyl-2,3-dimethyl-",0,491,0,39,0,0,196,487,129,0,0,390,308,172,294,136,86,174,77,138,350,0,301,0,0,245,374,603,89,0,0,0,122,0,153,384,334,430,387,76,0,0,0,178,66,0,0,882,54,53,474,399,1450,490,0,146,191,757
peak_039,"Pyrazine, 2,6-dimethyl-",0,8979,207,119061,0,149445,158945,174586,167079,190031,328,509,2731,164123,178326,178767,156841,142903,157468,139868,1112,1796,162,167552,171554,162464,115047,137821,157003,136676,0,644,901,151869,169041,184740,166451,166180,189173,198834,1280,2334,406,190338,191978,166440,224699,176377,176585,171773,2504,174584,147508,165898,166924,153371,166305,176232
peak_040,1-Hexanol,7762,1860,139,2600120,0,3212968,3594079,4063653,3721689,3611004,23590,32079,25047,2897110,3304499,3077319,2941442,3587186,3163837,3152157,15091,27204,1004,2658348,2822207,2702299,2772364,2838610,3529628,2758426,462,1185,24177,2630517,3024981,3266344,2828725,2773427,3564284,2901029,18002,0,0,2738594,2764965,2473816,2927318,2713247,2828289,2189742,23632,2162242,2180477,2207278,2249186,2088859,2443165,1970660
peak_041,"3-Hexen-1-ol, (E)-",865,352,339,90032,0,127001,153485,171792,182387,158410,241,1569,130,123696,141450,128130,196046,232278,186478,174749,366,1564,1645,115551,130863,126817,282746,306730,300687,229362,468,0,2114,108968,134668,149192,142881,133742,166005,137117,1399,928,2155,118476,126833,106514,126940,113752,146046,115144,766,112229,110468,105355,115913,101336,123569,103328
peak_042,2-Nonanone,0,782,29,5331,0,11533,9215,15790,13000,14681,545,547,785,563,1929,2095,19167,28794,27086,30826,302,1254,205,366,220,233,15156,21355,21888,25966,920,297,0,11264,10019,9295,7895,8437,10454,10030,580,226,103,1014,992,872,1240,968,1711,1986,1253,136,1017,404,1237,1440,657,951
peak_043,"Pyrazine, 2-ethyl-6-methyl-",643,718,0,20441,0,27101,20290,35593,21689,37132,377,781,949,23410,23441,32102,20226,28565,26751,27471,2055,2307,32,21177,25481,23399,18920,18980,27691,25419,453,502,265,31579,17408,36871,24946,29453,34650,26874,703,537,1265,22326,24438,28791,23399,19578,21117,23960,147,26922,22601,14800,22466,23018,24766,25306
