Peak_ID,a2,b2,c2,d2,e2,f2,g2,h2,i24,j24,k24,l24,m24,n24,o24,p24,q48,r48,s48,t48,u48,v48,w48,x48
Peak_117,45010626,39310492,3401557,23575803,25007664,41687079,36853479,40851780,0,0,0,1920956,0,0,0,0,2621373,20567431,1656749,16655487,16330740,20086235,17969548,16953484
Peak_118,0,35725323,0,28946529,29265708,39065727,41981676,43229224,9401182,18026236,0,3984725,21008421,17349967,15946921,14381616,8913287,31420810,2163395,28776541,28683550,29588543,28511656,27972499
Peak_119,18013072,35067862,6447815,22497004,23361773,32871364,33966368,32504605,0,0,0,0,0,0,0,1674590,0,13570118,0,12132984,12172876,13206402,12362210,12658216
Peak_120,0,52289998,0,50006221,47813549,58884351,64388433,67454523,0,12513707,0,2928658,9277963,7952113,11302901,8176444,3903966,55123795,5443633,52206862,51810513,54508795,56231630,56156640
Peak_121,0,329307321,0,350722368,357626781,388653666,482002350,477408033,0,0,0,0,5226816,4312397,0,3176430,2363211,0,0,0,0,0,0,0
Peak_122,40375262,237700348,5560326,249712405,279354476,293996780,334926492,337169332,22752771,878906295,0,346303267,957074704,828764188,812638579,815890960,0,11133148,0,9510966,9936448,11178725,10284962,10493081
Peak_123,14053798,9762181,0,0,0,11582460,0,0,4848625,0,0,0,0,0,0,0,0,32337349,0,31727465,27364847,36084355,32573412,31501939
Peak_124,0,8950861,0,8957221,9510290,10339610,10361918,11270604,0,21470296,0,7628276,28145846,22554472,21098137,21282472,7897645,47428486,2205235,44350058,70140996,46353065,42088498,43669527
Peak_125,6884622,125089373,0,119827255,124498598,140846424,151183496,156481676,0,32723637,0,12213353,38047145,38138291,28658017,29453629,2251452,9090710,0,7995812,8543330,8555543,7472227,7242875
Peak_126,0,18937940,4677882,19011971,19533140,21151952,23126407,23179560,0,75264856,0,26062409,83348193,70470743,68778458,69753825,0,53500469,1704908,48611805,48677371,53532270,50509282,51028641
Peak_127,7598352,43885216,0,44276975,45935204,52085285,54097422,57648057,2016308,3724036,0,0,6046025,4365731,4190752,3818769,0,0,0,0,0,0,2092673,0
Peak_128,4934931,20667368,0,17441038,18873285,19805641,20869234,20927626,0,4961284,0,1604923,7401922,6536545,4443005,4668788,0,5780647,2198918,5701823,5795412,8447143,4049795,6495143
Peak_129,0,5569737,0,5464140,5139942,4906341,6607682,6620318,0,1500092,0,0,0,0,1408715,1483758,1170151,21008758,0,17665204,17867012,20324559,17676376,17785230
Peak_130,20188632,16908794,0,15148016,17290797,19573494,17023181,17997451,0,4762922,0,0,5665025,5160436,4412082,4373495,0,17590044,0,14930892,14675908,16324470,14360942,13263130
Peak_131,14563275,11301360,0,11216339,11920148,13985641,12949008,13015409,1501579,218958541,0,84062685,239966098,203719767,201223979,200898808,0,5729083,0,5017898,4501533,5290259,4392642,4927375
Peak_132,0,5141983,0,5523950,5878106,6265071,6597163,6966071,426625,0,0,0,0,0,0,0,3355651,13116084,0,10248579,15842735,13190449,10138173,9282321
Peak_133,3774715,0,0,0,0,0,0,0,0,5197141,0,1872758,6406785,5406084,5357364,5083206,1866436,5063321,0,6865511,10109078,7517074,4886153,4803265
Peak_134,0,7960389,0,9000333,8036931,9305180,9888796,9701958,0,4914282,0,1588906,5543407,4783122,4412480,4282547,0,3969588,0,3672036,3280193,3956773,1904230,1663004
