Peak_ID,Library/ID,PA10BB02R04,FF10BB02R01,FF10BB02R02,FF10BB02R03,FF10BB02R04,FF10BB24R01,FF10BB24R02,FF10BB24R03,FF10BB24R04,FF10BB48R01,FF10BB48R02,FF10BB48R03,FF10BB48R04,PA10BB02R01,PA10BB02R02,PA10BB02R03,PA10BB48R01,PA10BB48R02,PA10BB48R03,PA10BB24R01,PA10BB24R02,PA10BB24R03,PA10BB24R04
Peak_029,"Butanal, 2-methyl-",118954559,112221230.00,116743581.00,108744789.00,113158708.00,76255150.00,0.00,96482758.00,78608213.00,68490035.00,17331290.00,88606977.00,63726017.00,113662802.00,97789625.00,130390405.00,97838501.00,121503161.00,81872914.00,105625369,88135610.00,127030694.00,80531211.00
Peak_030,"Butanal, 3-methyl-",224262796,243482927.00,220444616.00,226095820.00,233345001.00,75334421.00,71912546.00,140446537.00,146236022.00,90862004.00,72797757.00,118030949.00,114598407.00,210631627.00,153240525.00,297397186.00,353081683.00,468097723.00,318235475.00,331514135,234550821.00,426381462.00,216331554.00
Peak_033,Ethanol,500667231,445475779.00,496717501.00,478481753.00,485862884.00,458960029.00,516824444.00,545487667.00,496806925.00,473065329.00,556639416.00,552316469.00,470799663.00,546650584.00,476240419.00,475773900.00,567589909.00,515343906.00,457401335.00,523209242,483248641.00,524814335.00,595315773.00
Peak_034,2-(bromomethyl)tetrahydro-Pyran,0,77209303.00,71188376.00,71111991.00,68913937.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98221607.00,51913298.00,59597948.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_036,"Furan, 2-butyltetrahydro",57164675,52369687.00,53215593.00,52019799.00,55681396.00,11036218.00,35855010.00,44229496.00,29362024.00,20977040.00,32990604.00,31911961.00,22533762.00,57797038.00,44377862.00,43019400.00,22232103.00,13714228.00,22586679.00,33155210,26019536.00,34682304.00,38316765.00
Peak_038,"2,3-Butanedione",0,36282954.00,35627048.00,15614480.00,15583015.00,38645772.00,49967054.00,49033006.00,38273754.00,46487365.00,49878339.00,51936494.00,45993022.00,49341878.00,38261516.00,54672219.00,72350602.00,94069175.00,120270902.00,75029778,73885757.00,118817646.00,127302964.00
Peak_040,"Cyclotetrasiloxane, octamethyl-",51306242,55947419.00,49122791.00,55558248.00,88729526.00,69318904.00,67293475.00,89588178.00,68910209.00,76201802.00,92456776.00,95965967.00,73679033.00,74988551.00,53945126.00,48022859.00,87660202.00,78599517.00,69755077.00,74928539,75550837.00,67874423.00,90532808.00
Peak_041,dimethyl ester carbonic acid,43178023,36278903.00,40588239.00,41643524.00,47438271.00,25234562.00,37643474.00,43296398.00,30857459.00,28291345.00,38264623.00,38345325.00,30591534.00,48431494.00,35781859.00,34873378.00,37207269.00,24853320.00,31237478.00,39157673,37462326.00,35911258.00,46058831.00
Peak_042,Mesityl oxide,20042005,16458891.00,18863892.00,18334972.00,20775019.00,9751370.00,40490812.00,16740729.00,31004040.00,10592765.00,39596227.00,14582195.00,29489019.00,22162904.00,18298633.00,15368942.00,13591186.00,7503776.00,12426231.00,15943491,15239935.00,15806679.00,20431916.00
Peak_043,"Sulfurous acid, cyclohexylmethyl nonyl ester",32735871,29424968.00,30315702.00,31442671.00,33862074.00,12128889.00,0.00,32371782.00,0.00,0.00,0.00,23698462.00,0.00,35163448.00,27137298.00,24524216.00,0.00,8177427.00,18240615.00,24416636,20714518.00,23022136.00,29524504.00
