"Path","File","Date Acquired","Sample","Misc"
"C:\MassHunter\GCMS\1\data\JTB-E02\BACandSTRAW\","JTB-E02-208-24.D","14 Mar 2019  12:40    ","CTRL02   E-2"," "
"PBM Apex"
"Thu May 09 15:59:45 2019"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
137, 30.4438, 0.0243,"Benzyl alcohol",  5466,"000100-51-6",64
138, 31.3615, 0.0070,"Phenylethyl Alcohol", 10109,"000060-12-8",60
139, 31.6707, 0.0119,"Phenol, 2,6-bis(1,1-dimethylethyl)-4-(1-methylpropyl)-",123155,"017540-75-9",83
140, 32.3152, 0.0098,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",35
141, 32.3891, 0.0019,"Dimethyl-(6-methyl-2-thioxo-[1,3,2]oxathiaphosphinan-2-yl)-amine", 75475,"139575-19-2",27
142, 32.4546, 0.0055,"1,2-Benzisothiazole", 15817,"000272-16-2",42
143, 33.6735, 0.0026,"Phenol",  2621,"000108-95-2",43
144, 34.5868, 0.0058,"Pterin-6-carboxylic acid", 71717,"000948-60-7",47
145, 34.9062, 0.0070,"(E)-2-bromobutyloxychalcone",211838,"1000370-38-6",30
146, 36.6807, 0.0046,"2-Propenoic acid, 3-phenyl-, ethyl ester, (E)-", 44370,"004192-77-2",47
147, 36.9973, 0.0091,"1-Propoxypropan-2-yl pentanoate", 66470,"1000367-12-7",43
