Peak_ID,Compound Method,FFBB02C01,FFBB02C02,FFBB02C03,FFBB02P01,FFBB02P02,FFBB02P03,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24C01,FFBB24C02,FFBB24C03,FFBB24P01,FFBB24P02,FFBB24P03,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48C01,FFBB48C02,FFBB48C03,FFBB48P01,FFBB48P02,FFBB48P03,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_074,"Butanoic acid, 4-hydroxy-",10342,42110,4952,69768,44044,67313,48876,51518,69628,30194,26621,17443,38994,50630,34623,66787,46172,62677,59501,52134,24003,1263,19124,77797,59257,46888,59125,56213,36907,33380
peak_075,Acetophenone,32617,40610,1727,487517,485061,626841,617693,653188,703645,568794,46000,71488,1580,536872,597779,574731,486916,552875,488697,516743,49339,69059,32843,514866,452886,501749,430470,400069,502118,463427
peak_076,"Silanediol, dimethyl-",13664837,10971008,238859,8565820,5804987,11689180,4137148,4518670,6305563,9124374,8528649,8468240,8447614,5610061,4425594,8553932,4934292,4657126,6315221,5056819,8964616,8220064,3948763,9391850,5865136,6512021,3942655,5027821,5037060,3861392
peak_077,3-Furanmethanol,720,330,0,10513,13611,13802,29781,58574,50726,29934,1705,1400,822,11648,16041,14832,90442,100132,89022,69804,2373,1595,1218,15733,12572,11097,127344,103936,108862,106073
peak_078,"3,4-Dihydroxyphenylglycol, 4TMS derivative",145867,95783,4402,48602,36940,16282,23841,31543,17949,59006,39225,33096,20843,30361,16302,52278,27660,15649,42554,24741,37798,34950,16628,27344,36940,34235,14818,31677,28066,14694
peak_079,"Benzaldehyde, 3-hydroxy-",0,0,0,183853,172372,204184,161362,178174,194653,185015,0,0,0,132233,166122,186532,65158,53354,74781,77477,0,0,0,123242,118758,130395,34991,19928,45690,51615
peak_080,"3-(3-Oxo-2-prop-2-ynyl-cyclopentyl)-propionic acid, methyl ester",404,549,0,224339,300794,285936,333492,370793,363577,303354,2934,940,3949,296946,334681,273487,252197,318446,279912,306774,2056,502,294,284401,286516,230842,252434,287475,337994,228812
peak_081,Terpineol,2825,2234,0,517294,724171,677692,812562,967146,859852,801364,16026,22008,21732,600332,650111,599564,603958,743852,700255,678649,12099,16961,4150,513413,478981,488455,520680,674453,691739,632216
peak_082,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1S-endo)-",487,1457,0,56104,69804,75102,400947,459746,419275,377447,290,0,174,55504,58648,60830,603165,749974,567898,557826,641,70,61,47299,51846,45362,634675,780629,776249,643780
peak_083,"1, 1, 5-Trimethyl-1, 2-dihydronaphthalene",4623,978,0,555320,648684,916474,695110,1091039,868150,715079,30571,75903,49119,33638,72276,44939,47162,76760,81113,88525,10217,8580,4294,34073,30031,26387,28089,21080,35144,24192
peak_084,"Oxime-, methoxy-phenyl-_",7141,21007,0,3058,1176,2310,1139,124,808,1877,4074,1405,2004,0,809,2615,609,496,718,1611,4228,2417,180,5122,553,1431,84,876,1079,212
peak_085,Methyl salicylate,6106,3699,186,46368,44271,56124,65294,94852,85794,86549,6818,10497,5096,14676,28751,33058,55759,80717,60371,35497,4339,5843,4590,23000,16288,26418,49534,58703,55324,49474
peak_086,(-)-Myrtenol,412,668,145,2791,1241,1879,18649,25030,22494,19653,451,845,685,1835,1021,1717,34893,42691,25389,29920,414,126,619,2631,1455,1730,38400,44212,47122,38106
peak_087,"Cyclotrisiloxane, hexamethyl-    1",0,2835087,250,57903,157071,188400,48335,38794,86033,225514,762483,344816,363814,55746,64012,131187,59157,55846,85163,64123,998172,371010,28472,542197,77435,77060,39981,71175,80891,48666
peak_088,Thymol,367,0,0,16363,13327,20059,15671,23506,29121,23855,211,348,110,19911,25351,18841,24115,25839,28604,22172,583,494,0,27579,19714,13148,21426,21945,27336,26027
peak_089,Benzyl alcohol,7967,10627,854,26714,39620,35005,144906,255944,210146,162496,6107,11181,8659,45522,49368,43707,392809,435011,365994,334345,11709,15654,6973,61532,43390,49354,488834,432304,486144,406361
peak_090,"Cyclotetrasiloxane, octamethyl-     1",512302,232589,854,27447,28213,1358,6961,11098,15369,70759,71520,58011,36809,19210,5071,42412,8306,10436,38444,19336,84262,69171,8449,91828,9140,32902,9981,7634,17484,4741
peak_091,Phenylethyl Alcohol,4378,3698,290,17885,19691,24567,37165,53377,47548,49128,1859,2213,2075,21338,31047,29561,146511,200856,164449,159041,6040,8388,5229,36413,35385,26544,278705,330916,332150,275533
peak_092,Benzyl nitrile,2974,4326,903,86279,100288,103220,91692,134777,141779,125848,4943,9288,7550,83409,104383,94051,107626,119538,94813,107674,4335,8218,2011,94399,77031,89985,99422,97310,110454,127666
peak_093,"2,6-Bis(1,1-dimethylethyl)-4-(1-oxopropyl)phenol",270255,39733,8915,101384,50583,66106,36490,64632,71823,79148,37542,59397,25476,75665,62727,85154,60177,54824,67769,70031,41808,44332,26903,72507,88590,88538,55233,62756,94009,51612
peak_094,"p-Mentha-1(7),8(10)-dien-9-ol",0,115,372,1082,3291,2131,9165,12748,11452,8497,819,521,1009,1679,3482,2838,15197,16306,16720,16686,0,999,693,2421,3426,3038,14856,18459,19455,15785
peak_095,Phenol,35448,46925,5943,42231,49356,60057,38492,51580,67845,52769,20231,17830,24893,48272,59135,54162,52238,65365,57246,47470,17819,16181,11928,62049,47605,50245,53394,51329,55181,53058
peak_096,p-Cresol,6320,8667,149,97556,127433,137012,137410,177433,185060,162708,7659,11051,8478,150411,159821,165873,171824,192231,159451,173071,9769,11755,2926,180513,131459,149745,185380,201512,191789,203238
peak_097,3-Allyl-6-methoxyphenol,385,0,207,7204,7490,7015,17632,25317,22484,19656,974,391,0,5779,9572,5385,46482,62028,39604,37878,864,1144,318,9276,5480,6141,73364,91660,69160,55862
peak_098,n-Hexane,168461,230095,2242,15950,63114,79624,113116,113602,194841,197953,142749,452731,173572,12613,41057,40841,11252,29827,48403,81269,280625,353016,9035,299077,14916,15224,10331,8355,10816,9124
peak_099,"Cyclotrisiloxane, hexamethyl-    2",41707872,33256247,509432,16818658,17398174,14306074,10994679,9560727,11047096,13039883,17669115,14367785,13085594,13671179,12730427,13513071,10135222,9346699,11459213,8639134,18999606,13401186,3716791,16341657,9307810,8076002,7111544,8915660,8209896,6574561
peak_100,Acetoin,879,2342,378,35441,36569,37639,43465,48465,55822,49182,303,374,377,39134,40266,41034,84448,109593,69810,68367,233,532,511,40655,38446,38193,104863,119522,94437,82898
peak_101,"3-Hexen-1-ol, (E)-    1",28553,9902,0,3685705,4261079,3961594,4623661,5787763,5505557,5033003,90484,15112,88292,3604851,4103229,3775680,4271877,5174246,4545981,4694071,92767,92641,5075,3230531,3409104,3351888,3996102,4479314,4991571,4349559
