Peak_ID,Library\ID,FFBB02C01,FFBB02C02,FFBB02C03,FFBB02P01,FFBB02P02,FFBB02P03,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24C01,FFBB24C02,FFBB24C03,FFBB24P01,FFBB24P02,FFBB24P03,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48C01,FFBB48C02,FFBB48C03,FFBB48P01,FFBB48P02,FFBB48P03,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_077,"Ethanone, 1-(2-furanyl)-",787,873,328,58819,61010,44139,81552,72167,118873,104113,241,554,0,81099,99186,58032,97810,106938,106669,102335,0,0,0,91710,87495,83246,95540,97483,112288,108767
peak_078,Dill ether,224,0,0,81210,69197,112188,59682,73821,138711,132005,0,140,914,29478,39989,32389,32460,46606,41235,46207,0,0,0,18905,20760,7399,26469,32289,31866,26685
peak_079,Benzaldehyde,268565,252682,2258,25297918,20626022,27340858,22548613,22772905,24071372,23183028,1109113,0,0,26396080,27960600,28120791,8413963,4232075,12487835,14792294,0,0,0,25539910,24035375,25086803,4946515,2509114,7639216,8866696
peak_080,"Phenol, 2-(1-methyl-2-buthenyl)-4-methoxy-",1031,199,0,870067,640402,1309343,1213881,1246342,1201057,1020073,0,3057,0,52303,32416,28820,47156,59704,52401,64188,479,0,0,28890,38394,41138,26790,30322,16757,30599
peak_081,"1,4-Dimethoxy-2-methyl-5-(prop-1-en-2-yl)benzene",5244,5646,0,324968,493549,284493,285312,465591,465879,413960,1208,3449,877,8472,18553,16861,21924,35116,21986,11917,1509,3333,0,9145,5399,4542,12129,12879,14528,15187
peak_082,Linalool,0,407,229,132185,150315,145143,191208,225650,207026,191214,1965,2227,1074,72599,60896,80219,77839,108845,84193,85684,168,197,296,29920,50454,47535,51162,63298,75581,65676
peak_083,2-Caren-4-ol,258,270,195,12691,18320,24938,21320,25019,21687,13550,110,461,0,435,430,103,450,563,903,2069,0,0,221,486,568,370,85,72,90,619
peak_084,1-Octanol,635,1721,0,38824,32369,41849,67664,60235,82214,66239,2513,1874,103,9431,10455,21731,39303,56308,42380,28151,297,1302,538,8344,11737,9246,18893,36752,36977,31498
peak_085,"2-Furancarboxaldehyde, 5-methyl-",959,427,0,28163,22805,30058,18112,33754,40411,33843,2020,0,2267,28472,20936,39220,14879,7273,21972,22712,633,2087,765,21862,30408,29058,9061,5647,16869,17197
peak_086,Benzonitrile,2650,9328,251,142070,119598,184313,183585,205421,209569,216838,0,0,3092,145720,98604,153183,127536,150791,140261,154361,14593,18955,0,116634,109370,122336,69692,110574,122636,116238
