Compound Method,BLANK   E-2,,CTRL01   E-2,,REP01   E-2,,CTRL02   E-2,,REP02   E-2,,CTRL03   E-2,,REP03   E-2,,BLANK     E-2,,CTRL01     E-2,,REP01     E-2,,CTRL02     E-2,,REO02     E-2,,CTRL03     E-2,,REP03     E-2,
Name,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.
"1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol",30.396,164431,30.380,47894,30.388,27744,30.372,25472,30.396,19990,30.388,23049,30.396,24616,30.396,230171,30.372,18612,30.372,25759,30.396,28241,30.396,16080,30.380,18425,30.372,27512
Methyl isovalerate,5.848,19584,5.848,1931938,5.848,15582914,5.848,2423252,5.848,14366654,5.848,7999431,5.848,12940291,5.848,88048,5.848,3385754,5.848,4145635,5.848,1901274,5.848,6671238,5.848,7180569,5.848,5060197
4-Methylthiazole,,,30.965,238,30.981,13131,30.973,257,30.981,1945,,,30.973,1592,30.949,206,,,30.965,2244,30.973,211,30.965,73,30.997,294,30.981,281
Phenylethyl Alcohol,31.363,1473,31.363,3598,31.355,85672,31.355,60113,31.355,15697,31.347,9664,31.355,51772,31.355,7383,31.371,4358,31.363,962618,31.355,1078235,31.355,665919,31.355,161164,31.355,2050846
"2,6-Bis(1,1-dimethylethyl)-4-(1-oxopropyl)phenol",31.672,30938,31.664,53802,31.663,53073,31.655,61175,31.655,76322,31.663,84173,31.663,70167,31.655,118144,31.655,116898,31.663,174303,31.663,197459,31.663,219639,31.664,196030,31.663,247805
"Butanoic acid, ethyl ester",6.198,21487,6.198,5406184,6.197,32118945,6.197,33179274,6.197,19484236,6.197,3982286,6.197,20122883,6.198,111625,6.198,2490551,6.197,32275520,6.197,32809937,6.197,32328545,6.197,3583730,6.197,33414996
Isopropyl butyrate,6.287,29906,6.287,7108773,6.287,35627065,6.287,16811848,6.287,11913884,6.287,15423801,6.287,26398452,6.287,188542,6.287,7265675,6.287,39421128,6.287,20921984,6.287,18861166,6.287,10991883,6.287,26552595
"Butanoic acid, 2-methyl-, ethyl ester",6.563,6550,6.563,735493,6.563,9420731,6.563,24323006,6.563,9693706,6.563,1222887,6.563,3093905,6.563,17809,6.563,1429385,6.563,34682550,6.563,29219101,6.563,35634604,6.563,3735566,6.563,34018671
"Acetic acid, butyl ester",6.977,36267,6.977,960351,6.977,20138160,6.977,12097291,6.977,6070705,6.977,2278215,6.977,7839017,6.977,161098,6.977,885667,6.977,25065887,6.977,13687833,6.977,9498811,6.977,2342582,6.977,14581115
"Benzene, 1-propenyl-",32.119,153,32.102,104,32.110,19438,32.102,3415,32.118,1232,32.135,442,32.118,2574,32.118,315,32.102,340,32.118,81018,32.118,39104,32.118,9579,32.118,129,32.118,23550
"Butanoic acid, 3-methyl-, ethyl ester",6.888,8408,6.888,493163,6.888,9171956,6.888,11875422,6.888,5352539,6.888,880321,6.888,3220002,6.888,52910,6.888,308169,6.888,26191898,6.888,20490869,6.888,25256829,6.888,1147999,6.888,24965057
"Cyclopentasiloxane, decamethyl-  2",32.297,23699,32.313,27129,32.313,17274,32.313,8288,32.297,6425,32.321,4406,32.313,5918,32.313,62531,32.289,6040,32.313,10538,32.297,6437,32.321,7689,,,32.321,11560
"Pentanoic acid, 1-methylethyl ester",7.075,1875,7.075,51844,7.075,535754,7.075,340067,7.075,381109,7.075,231629,7.075,554659,7.075,11801,7.075,70369,7.075,1113704,7.075,574642,7.075,1189570,7.075,261177,7.075,1140155
"Propanoic acid, 2-methylpropyl ester",7.156,8513,7.156,40628,7.156,3186742,7.156,481155,7.156,967834,7.156,119591,7.156,586179,7.156,19212,7.156,61270,7.156,3577573,7.156,1078086,7.156,2000655,7.156,215780,7.156,2562016
"2-Propenoic acid, 3-phenyl-, methyl ester",32.452,65,32.419,200,32.427,40623,32.427,5976,32.419,21047,32.435,4659,32.419,16220,32.443,438,32.419,10857,32.419,70910,32.419,18019,32.419,50811,32.427,5476,32.427,44362
Phenol,33.662,37201,33.670,29087,33.662,50834,33.662,40087,33.662,47212,33.662,31713,33.654,42390,33.662,50716,33.662,26263,33.662,53537,33.662,67989,33.662,58131,33.662,28056,33.670,54535
Methyl valerate,7.294,9105,7.294,180468,7.294,971020,7.294,183971,7.294,424048,7.294,419165,7.294,606724,7.294,41585,7.294,359257,7.294,469751,7.294,185857,7.294,365911,7.294,293061,7.294,314948
"1-Propanol, 2-methyl-",7.587,21004,7.587,136810,7.586,5421881,7.587,1692129,7.586,3217176,7.586,343087,7.587,1971370,7.587,87713,7.587,157343,7.586,6636924,7.586,3621066,7.587,4172785,7.587,491105,7.586,4742844
"2(3H)-Furanone, 5-hexyldihydro-",36.992,15488,37.000,11530,36.992,709162,36.992,97626,36.992,31484,36.992,24600,36.992,240423,37.000,17610,36.992,12264,36.992,197408,36.992,42184,36.992,23224,36.992,11476,36.992,48880
"2-Butenoic acid, methyl ester, (E)-",7.806,4566,7.806,169246,7.806,2567171,7.806,856006,7.806,2241622,7.806,467660,7.806,1462187,7.806,16179,7.806,630498,7.806,2921104,7.806,764754,7.806,2525306,7.806,1773167,7.806,2445698
"1-Butanol, 3-methyl-, acetate",8.188,17069,8.188,1172784,8.188,34573096,8.188,25340813,8.188,24753719,8.188,5215331,8.188,16056531,8.188,51949,8.188,2023339,8.188,35133221,8.188,34283015,8.188,33537364,8.188,6982603,8.187,33488658
"Butanoic acid, 1-methylpropyl ester",8.440,5002,8.440,52344,8.439,742325,8.439,407199,8.439,345608,8.439,277382,8.439,540408,8.440,20779,8.439,108084,8.439,630272,8.439,388979,8.439,425530,8.439,279157,8.439,835640
"Nonanoic acid, ethyl ester",8.553,2850,8.553,16796,8.553,274241,8.553,226147,8.553,92125,8.553,29607,8.553,81796,8.553,8536,8.553,16120,8.553,1935175,8.553,625194,8.553,708031,8.553,41623,8.553,827231
"Butanoic acid, 2-methyl-, propyl ester",8.675,3097,8.675,8180,8.675,184269,8.675,281154,8.675,376830,8.675,25626,8.675,80475,8.675,4810,8.675,13967,8.675,1078963,8.675,416496,8.675,3100976,8.675,72092,8.675,726331
2-Butoxyethyl acetate,8.716,5137,8.716,20505,8.716,501687,8.716,235720,8.716,290160,8.716,45518,8.716,175401,8.716,7423,8.716,23488,8.716,1107358,8.716,400769,8.716,2236081,8.716,73017,8.715,731671
"Pentanoic acid, 4-methyl-, methyl ester",8.789,3139,8.789,84062,8.789,457116,8.789,64586,8.789,241149,8.789,182217,8.789,302058,8.789,8113,8.789,138641,8.789,181789,8.789,67910,8.789,158677,8.789,135866,8.789,173833
1-Butanol,8.927,22782,8.927,56906,8.927,1340294,8.927,867677,8.927,364410,8.927,69164,8.927,492295,8.927,29350,8.927,37617,8.927,1751613,8.927,855596,8.927,1065382,8.927,67191,8.927,671723
"Cyclopentasiloxane, decamethyl-  1",9.041,462669,9.041,476338,9.041,534200,9.041,492038,9.040,340877,9.040,2123915,9.041,900065,9.041,658219,9.041,440762,9.040,1606516,9.041,721662,9.041,465656,9.041,535816,9.040,470089
"Butanoic acid, 3-methyl-, propyl ester",9.114,2811,9.114,11468,9.114,289670,9.114,155229,9.114,360124,9.114,61970,9.114,206439,9.114,6899,9.114,16240,9.114,316663,9.114,186896,9.114,876014,9.114,91991,9.114,368492
"Butanoic acid, 2-methylpropyl ester",9.219,4125,9.219,102432,9.219,28133136,9.219,1129310,9.219,6845983,9.219,431283,9.219,9440738,9.219,22537,9.219,83824,9.219,13415716,9.219,2695037,9.219,2816064,9.219,371555,9.219,8501250
"2-Butenoic acid, ethyl ester, (Z)-",9.341,2366,9.341,149243,9.341,5573252,9.341,17928269,9.341,3114200,9.341,191052,9.341,1202888,9.341,19454,9.341,154104,9.341,28095276,9.341,16218042,9.341,19487438,9.341,728203,9.341,25746600
"2-Butenoic acid, 1-methylethyl ester",9.552,3303,9.552,151116,9.552,2004601,9.552,1816534,9.552,1166214,9.552,441494,9.552,1324114,9.552,32998,9.552,352047,9.552,4635406,9.552,1961560,9.552,2651224,9.552,1170465,9.552,4903342
"Hexanoic acid, 2-methylbutyl ester",9.634,15764,9.634,38906,9.634,1115213,9.634,365525,9.633,465093,9.633,101804,9.634,343199,9.634,30167,9.634,51133,9.633,1303167,9.633,854475,9.634,736419,9.634,106244,9.633,1237437
"Butanoic acid, 2-methyl-, 2-methylpropyl ester",9.723,4581,9.723,15158,9.723,2989858,9.723,259711,9.723,1875894,9.723,52503,9.723,593528,9.723,7700,9.723,23892,9.723,11020224,9.723,1354295,9.723,4297486,9.723,138456,9.723,6971174
2-Heptanone,9.894,14926,9.894,33231,9.893,1116368,9.894,288545,9.893,175804,9.893,107809,9.893,360571,9.894,30536,9.894,35911,9.893,1198906,9.893,319315,9.893,296272,9.894,81414,9.893,492611
