,,,,JTB-E02-192-12,JTB-E02-192-06,,JTB-E02-192-13,,JTB-E02-192-14,,JTB-E02-192-15,,JTB-E02-192-16,,JTB-E02-192-17,,JTB-E02-192-18
,,,,2H_CTRL01,BAC-01 BLANK,,2H_CTRL02,,2H_CTRL03,,2H_REP01,,2H_REP02,,2H_REP03,,2H_REP04
Header=,Qual,Library/ID,RT,Area,R.T.,Area,R.T.,Area,R.T.,Area,R.T.,Area,R.T.,Area,,,
52=,64,"2-Butenoic acid, ethyl ester, (E)- (CAS) $$ Ethyl (E)-crotonate $$ Ethyl trans-crotonate $$ Crotonic acid, ethyl ester, (E)- $$ trans-2-Butenoic acid ethyl ester $$ (E)-2-Butenoic acid ethyl ester $$ Ethyl crotonate $$ (E)-CH3CH=CHCOOC2H5 $$ Crotonic acid",9.0017,17469145,25.518,11321030,9.008,19429907,9.139,29888508,8.817,27674258,8.953,13014517,,,
53=,90,"2-Butenoic acid, 3-methyl-, methyl ester (CAS) $$ Methyl 3-methyl-2-butenoate $$ Methyl senecioate $$ Methyl 3-methylcrotonate $$ Methyl 3,3-dimethacrylate $$ Methyl 3,3-dimethylacrylate $$ Methyl .beta.-methylcrotonate $$ 3-Methylcrotonic acid methyl est",9.1324,32657956,26.429,3395877,9.139,35377801,9.268,8744566,8.952,14162451,9.008,16270627,,,
54=,64,"Benzene, 1-ethyl-2-methyl- (CAS) $$ o-Ethyltoluene $$ 1-Methyl-2-ethylbenzene $$ 2-Ethyltoluene $$ Toluene, o-ethyl- $$ o-Methylethylbenzene $$ o-Ethyl methyl benzene $$ 1-Ethyl-2-methylbenzene $$ o-Ethylmethylbenzene $$ ortho-Ethyltoluene",9.258,7155185,26.907,1845012,9.264,13404996,9.459,68440024,9.005,19315787,9.14,31229074,,,
55=,53,"1,8-Cineole $$ 2-Oxabicyclo[2.2.2]octane, 1,3,3-trimethyl- (CAS) $$ Terpan $$ Zineol $$ Eucapur $$ p-Cineole $$ Cajeputol $$ Eucalyptol $$ Cucalyptol $$ Zedoary oil $$ 1,8-Epoxy-p-menthane $$ 2-Oxa-1,3,3-trimethylbicyclo[2.2.2]octane $$ 1,3,3-Trimethyl-2-",9.4467,91288798,27.015,1830218204,9.457,77525803,9.548,20234650,9.136,34584339,9.267,7282618,,,
56=,87,"Benzene, 1,4-dimethyl- (CAS) $$ p-Xylene $$ p-Xylol $$ 1,4-Xylene $$ p-Dimethylbenzene $$ 1,4-Dimethylbenzene $$ p-Methyltoluene $$ 4-Methyltoluene $$ 1,4-Dimethyl-benzene $$ 1,4-DIMETHYLBENZENE(P-XYLENE) $$ 1,4-DIMETHYLBENZENE (P-XYLENE) $$ para-Xylene $",9.5451,20361475,27.574,18562205,9.552,20961230,9.989,54809028,9.458,63252486,9.46,63826315,,,
57=,98,LIMONENE,9.9773,88661692,27.648,23221639,9.985,63520776,10.072,18558068,9.547,21425227,9.551,15295342,,,
58=,97,LIMONENE,10.0757,20806201,27.802,22064904,10.088,22912675,10.367,2439746387,9.983,42198766,9.989,44801253,,,
59=,52,"2-Pentene, (E)- (CAS) $$ trans-2-Pentene $$ (E)-2-Pentene $$ 2-trans-Pentene $$ trans-.beta.-Amylene $$ 2-(E)-C5H10",10.3704,2674191680,28.256,7012925,10.376,2471644028,10.731,21179958,10.076,19143031,10.079,18005577,,,
60=,95,5-ISOPRENYL-2-2METHYL-2VINYLTETRAHYDROFURAN $$ HERBOXIDE,10.4702,193739241,28.356,1101665165,10.476,130582776,10.839,15695133,10.374,2581645946,10.373,2509412223,,,
61=,58,Neopentylidenecyclohexane,10.7225,28280179,28.814,31569996,10.73,23756141,11.039,11204938,10.473,110327382,10.469,134582128,,,
